corpus_id,score,decile,date,source,article,is-thematically-relevant,has-event,has-named-location,has-space-type,event-mentioned,location-mentioned,space-mentioned,notes
824528,0.658748746,10,1850-10-26,star,"BRORNEO CHAMBERS,—I postpone, until next week, addressing you on a subject, to which I had intended advertising, in order to offer a few observations relative to the proposed National Conference; a matter on which I would not have ventured to solicit your attention, were it not that my recent tour has afforded me the opportunity of judging as to the expediency of such a measure.  Fully agreeing as to the advisability of holding a Conference, I yet differ as to the time suggested for its assembly. It is necessary that on such occasions the mind of the country should be fully and fairly represented; but this is, at present, impossible, from the following causes:—  Very many of the localities that flourished in 1848 have now no political existence whatever—neither council, committee, nor members; of those remaining in the field, many are scarcely able to meet their local expenditure; organisation lies prostrate, and, with it, the machinery for electing and supporting the members of a Conference.  Moreover, though the democratic feeling is, I believe, wider spread than ever, and beginning rapidly to awaken from its two years lethargy, it is not yet sufficiently directed and concentrated to one point, to embrace the idea of the proposed Conference. Trade is yet too brisk; the reaction has not yet proceeded far enough to show the people the necessity of union; the Conference would not meet with general support, and would inevitably display the weakness of the movement, while it in no way added to its strength.",TRUE,FALSE,FALSE,FALSE,,,,
134638,0.717180967,10,1849-06-09,star,"-governed nation. (Hear.) He (Mr. Bright) had no respect for a constitution (""Oh!"")—or a system or state of parliamentary representation—(hear, hear)—which required civil war menaced in order to get Catholic Emancipation, brickbats to pass the Reform Bill, an insurrection in Jamaica to abolish slavery, a famine to repeal the Corn Laws, half a million of men and families perished of hunger to improve the laws with regard to the tenure of land in Ireland. (Hear, hear.) But, perhaps, the noble lord would say, the system worked well out of doors. From 1836, when the people began to feel that they had been cheated of the influence they expected to acquire by the Reform Bill, there had been an incessant movement in favour of an extension of the suffrage, out of which had come the frightful thing called Chartism (a laugh), not frightful because of the ""six points,"" but because of the passions stirred in the discussion, and the antipathies engendered among a population believing themselves excluded from their fair share of political rights. (Hear, hear.)  He (Mr. Bright) had seen some of the fruits of that agitation—not an agitation all evil by any means—for whenever the people were stirred up to the contemplation of political questions, there was an admixture, often large, of good. He had seen them at torchlight meetings (hear, hear); he had heard of them since in small, and it might be miserable, but not wholly to be despised conspiracies (an ironical cheer); he had seen incipient insurrectionary movements (cheers renewed); and we all know that there was a wide-spread discontent among a large and intelligent class, and a hatred of the law which those who sat",TRUE,FALSE,FALSE,FALSE,,,,
631259,0.7076841,10,1843-04-08,star,"MR. WALTER.—I beg to claim the indulgence of the meeting for a single moment, while I notice an allegation which has just been made by the individual who last addressed you. Upon my honour, I have not spoken to any public man on the subject of the press for the last twenty years. With respect to what he says as to the sale of a property with which I was then connected, I tell you, upon my honour, there is not the shadow of a foundation for it, and I believe that he knows what he says to be utterly false.  MR. Tras then addressed the electors, but was much interrupted.  MR. O'Connor said he had not yet resigned, as, before he did that, he must have from MR. Gisborne, who had spoken in favour of the six points, an unequivocal answer to a straightforward question. Did MR. Gisborne, when the People's Charter was brought under the consideration of the House of Commons, intend to support that measure? MR. Gisborne.—I think I have given an explanation.  MR. O'Connor.—Say ""Yes"" or ""No."" (Cries of ""Order, order."")  MR. Gisborne.—I have spoken as an independent man; I have declared my principles in such a way that no man can misunderstand them. I cannot be misunderstood; I do not think it fair.  MR. O'Connor.—If I understand MR. Gisborne aright, I am satisfied.  MR. Charlton.—I am not, and I request a plain answer. Will you, or will you not support the Charter? I ask for a plain ""yes,"" or ""no.""  No answer being given, Mr. Charlton said, Mr. Gisborne will not answer; I, therefore",TRUE,FALSE,FALSE,FALSE,,,,
554912,0.712615073,10,1842-01-29,star,"to the woman who never complained. If the system drive them to the workhouse, they ought to meet with as good treatment there as they would out. How was it it was not so? Because applicants for relief had no votes, while those who gave the relief had. (Loud cheers.) In the objects of the rate-payers' Association I entirely agree; they had marshalled their forces for the entire and total abolition of the Poor Law Union. In this they had his cordial co-operation. Had they proposed anything less: he should have felt it his duty to have moved an amendment. (Hear, hear.) As things were going on now, many of those who came there to resist an increase of rates would soon require rates for their own support. Lest his feelings should lead him into politics, he would conclude, but he was bound to say the only means of preventing such things was to give to every man of mature age, and of sound mind, a vote in making the laws. (Applause.)  Mr. O'CONNOR was about to leave the meeting, when a person from the body of the meeting proposed three cheers for O'Connor, which was responded to most heartily. The resolution was then put and carried unanimously.  After a vote of thanks to the Chairman, the meeting broke up.",TRUE,TRUE,FALSE,FALSE,meeting,,,
554475,0.728074014,10,1845-07-26,star,"On Sunday, the 13th inst., I lectured to an attentive audience in the Association-room of this place. A working man, whose name I now forget, occupied the chair, and made a very sensible speech. I spoke at length upon the Land and Election plans put forth by the Convention, which seemed to give satisfaction to all present. On the following day (Monday) happened to drop into the company of Mr. Thomas Livesey, to whom the cause of Chartism owes a great deal, owing to his exertions in his own neighbourhood. Several manufacturers were present at the time. A general conversation commenced about politics and wages, the manufacturers contending that they gave as high wages as their profits would allow. Mr. Livesey stated in reply that there was not a single manufacturer in the trade at Rochdale but made more profit than he paid as wages, and as proof of this, he mentioned the name of a manufacturer who had that morning waited upon him for the transaction of business, and that so far from the manufacturers not being able to pay more wages, he had offered to bet the person alluded to above, £50 that his profits exceeded the wages paid to all the persons in his employ, and that this individual had made the admission that he paid as weekly wages £108, and made, as profit, £160 in the same time, or more, by eight shillings, than would be received by 187 men, supposing them to average sixteen shillings per week, which is far above the average of wages paid to the manufacturing operatives. No wonder that the poor ill-used mill-lords should complain of the tyranny of the villainous aristocracy. There, my friends, study that ""great fact,"" and you will be at no loss to divine the cause the people's wretchedness.  PASTER",TRUE,TRUE,FALSE,TRUE,lecture,,association room,
955046,0.840892494,10,1858-01-16,leader,"PARLIAMENTARY REFORM.—Meetings in favour of Parliamentary Reform have been held during the last few days at Bodmin, Penryn, Liskeard, Newcastle-upon-Tyne, Birmingham, and Manchester.—A meeting was held at the Freemasons' Tavern Wednesday night under the presidency of Herbert Ingram, Esq., M.P., in favour of Reform. Mr. Ingram expressed some doubt as to the excellence of equal electoral districts, but said he was inevitably wedded to manhood suffrage. Mr. Passmore Edwards then spoke in favour of a very radical reconstruction of the franchise, and proposed a motion declaring the absolute necessity of manhood suffrage in any measure of Parliamentary Reform. Ernest Jones warmly advocated a union between the working classes and the middle classes, and deprecated any attempt to create a split by proposing an amendment under the sacred name of the People's Charter. He was here met with cries of ""Turncoat!"" and ""Traitor!"" Mr. Cunningham, M.P., spoke in support of the motion. Mr. Dicky moved, and Mr. Kaiford seconded, an amendment proposing the various points of the charter, and Mr. Townsend, M.P., urged the duty of union; and a great deal of confusion ensued, caused by a body of Chartists, headed by Mr. Byromera O'Brien. At length, the meeting, by a show of hands, refused to hear Mr. O'Brien or to entertain the amendment, and the original resolution was then declared to be carried.  THE STATE OF THE HAYMARKETS, &c.—An adjourned meeting with reference to the disgraceful state of some of our West-end streets was held on Thursday at the Chambers of the Society for the Suppression of Vice. Resolutions were passed, appointing a deputation to wait on Sir George Grey; instructing such",TRUE,TRUE,TRUE,TRUE,,,,
165225,0.719051182,10,1848-07-29,star,"member for Harwich (Sir J. Hobhouse) once a revolutionist, but now a constitutionalist? How easy it would be to rake that Treasury bench, branding each of its occupants with the stamp of sedition, while they are now associated together to abrogate the constitution of Ireland. He (Mr O'Connor) had never expressed an opinion out of that house which he would fear to express in that house; and much as he longed to see the liberty of his country established, be repeated there, what he had stated, over and over again, elsewhere, that the working classes of no country had ever derived a benefit from a physical revolution, because, with the last shot, some greater tyranny is established, than that which has been destroyed, and the people mad, thoughtless, and enthusiastic, while rejoicing in their triumph, become victims to the ascendant party. (Hear, hear.) Yes, he understood that cheer, but what he contended for, was the right of the people to such a social system as would insure a sound political system to protect it, and around which all would equally rally. Now, he (Mr O'Connor) thought he best fulfilled the obligations of that oath of allegiance, which had been flashed in his face, by pointing out the means by which the English dominions may be most safely secured to her Majesty; and he believed in his soul, that those means were by restoring to the Irish people the right of self-government, when both nations would be stronger and more harmonious than they are now. ('Oh, oh, oh!') Well, they may 'oh,' but what would be the opinion of that house if they were aware that he (Mr O'Connor) entertained those opinions, but shrunk from their avowal? In conclusion, he would make one more",FALSE,FALSE,FALSE,FALSE,,,,
580048,0.65788275,10,1845-10-18,star,"it had been debated, discussed, and rejected in the preceding session. Another reason for the postponement of the bill at the beginning of last session was, that he had no ground on which he could actually stand, because at that time no petitions had been prepared for presentation, and it would have been almost impossible for him to have opened the question, unless he was prepared to show to the House that those whom he professed to represent cordially concurred in the measure. But even had the petitions been presented in time, the House of Commons was so completely absorbed in railway legislation, that it would have been impossible to have attended to them. But he was not disposed to allow the next session to pass away like its predecessor (cheers), because he thought that they were in a far better state of preparation. The petitions that had been presented at the close of the last session were a sufficient basis on which to stand for the commencement of operations in the next. With regard to the railway question, which threatened to be far more formidable than during the last session, he would say that they must endeavour to forestall it by giving notice for leave to bring in a bill on the very first night of the opening of Parliament to shorten the hours of labour in the manufactories. (Applause.) Now, if the people were ready upon that point, he was quite ready to serve them with the best of his humble energies (applause); and, God willing, if he should have health and strength, he would not fail to give that notice, and exert his humble abilities to carry the measure to complete and entire success. But he had now to consider what were the hopes of success in the next session. Now, their hopes for success, if they made careful inquiry, would be found to be certain, and by no means diminished. They would derive very great evidence as to the",TRUE,FALSE,FALSE,FALSE,,,,
666284,0.738981843,10,1846-03-28,star,t+F10,TRUE,FALSE,FALSE,FALSE,,,,
567393,0.686795175,10,1847-04-03,star,"HOUSE OF COMMONS.—DISMISSAL FROM PUBLIC WORKS.—Mr Labouchere, in answer to a question from Mr Smith O'Brien, stated that although twenty per cent. of the labourers on the relief works in Ireland had been dismissed, the operations had been modified in some particular districts so as to cause the least possible mischief; and the change had been effected without disturbance, and with most beneficial results. Indeed the change had been accomplished in such a manner as would not only essentially benefit the country, but would also materially promote the cultivation of the soil. In many parts of Ireland persons had been placed on the public works who ought never to have been placed there, and, generally speaking, those persons had been the first struck off. The government had never said that Lo persons should be struck off the public works till the relief committees and soup kitchens were organized. He likewise contended, that it was not true, that there were no means of completing the works already commenced. New presentments had been recently made; but, instead of being decided on at once by the Lord-Lieutenant of Ireland, they were referred to the Home Secretary in this country, and would be carried into effect or not, as he should think expedient.  INSURRECTION IN CATALONIA.—Mr DORTHWICK rose to call the attention of the noble lord, the Secretary for Foreign Affairs, to a proclamation issued in Catalonia by General Breton, on the 4th of March. The proclaimation stated that “the exertions and fatigues of the brave troops will be incompetent to the extermination of the hordes of Vandals who have raised anew their banner of blood with a view to reproduce the disasters of the last war, so long as these hordes shall find in the country that shelter and protection which can along save them from the pursuit of our indefatigable columns.",TRUE,FALSE,FALSE,FALSE,,,,
